# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] length[m] width[m] left-lateral[m] thrust[m] tensile[m]
1.3004 3.1324 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.4548 3.5570 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.6095 3.9815 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.2428 -4.1161 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.0882 -3.6915 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.9339 -3.2669 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7797 -2.8422 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.6257 -2.4174 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0058 0.0008 0.0000
-0.4717 -1.9926 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.2110 0.0318 0.0000
-0.3179 -1.5677 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.3372 0.0564 0.0000
-0.1642 -1.1428 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.4395 0.0440 0.0000
-0.0106 -0.7179 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.5426 0.0260 0.0000
0.1431 -0.2930 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.6164 0.0237 0.0000
0.2967 0.1319 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.6296 0.0263 0.0000
0.4503 0.5568 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.5756 0.0133 0.0000
0.6040 0.9817 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.4711 -0.0207 0.0000
0.7577 1.4065 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.3451 -0.0569 0.0000
0.9116 1.8314 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.2111 -0.0573 0.0000
1.0655 2.2561 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0191 -0.0023 0.0000
1.2196 2.6808 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.3738 3.1055 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.5282 3.5300 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.6828 3.9545 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.1694 -4.1430 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.0148 -3.7185 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.8605 -3.2938 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7063 -2.8691 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.5523 -2.4443 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0773 0.0228 0.0000
-0.3984 -2.0195 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.2457 0.0189 0.0000
-0.2446 -1.5946 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.3788 0.0192 0.0000
-0.0909 -1.1697 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.4915 0.0116 0.0000
0.0627 -0.7448 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.5899 0.0062 0.0000
0.2164 -0.3199 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.6571 0.0113 0.0000
0.3700 0.1050 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.6729 0.0200 0.0000
0.5236 0.5299 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.6289 0.0184 0.0000
0.6773 0.9548 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.5325 -0.0005 0.0000
0.8310 1.3797 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.4016 -0.0285 0.0000
0.9849 1.8045 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.2477 -0.0437 0.0000
1.1388 2.2292 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0542 -0.0327 0.0000
1.2929 2.6539 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.4471 3.0785 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.6016 3.5031 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.7562 3.9275 -196961.5506 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.0960 -4.1700 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.9414 -3.7454 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7871 -3.3207 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.6330 -2.8960 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.4790 -2.4712 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.1143 0.0010 0.0000
-0.3251 -2.0463 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.2543 -0.0171 0.0000
-0.1713 -1.6215 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.3788 -0.0255 0.0000
-0.0176 -1.1966 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.4886 -0.0281 0.0000
0.1360 -0.7717 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.5804 -0.0223 0.0000
0.2897 -0.3467 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.6422 -0.0069 0.0000
0.4433 0.0782 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.6597 0.0121 0.0000
0.5969 0.5031 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.6248 0.0247 0.0000
0.7506 0.9279 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.5394 0.0234 0.0000
0.9043 1.3528 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.4137 0.0087 0.0000
1.0582 1.7776 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.2571 -0.0107 0.0000
1.2121 2.2023 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0687 -0.0289 0.0000
1.3662 2.6270 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.5205 3.0516 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.6749 3.4761 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.8296 3.9005 -246201.9383 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.0225 -4.1970 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.8680 -3.7723 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7137 -3.3476 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.5596 -2.9229 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0080 0.0080 0.0000
-0.4056 -2.4981 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.1194 -0.0214 0.0000
-0.2518 -2.0732 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.2359 -0.0442 0.0000
-0.0980 -1.6483 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.3459 -0.0548 0.0000
0.0557 -1.2234 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.4457 -0.0541 0.0000
0.2093 -0.7985 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.5287 -0.0420 0.0000
0.3629 -0.3736 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.5845 -0.0197 0.0000
0.5166 0.0513 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.6021 0.0072 0.0000
0.6702 0.4762 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.5741 0.0304 0.0000
0.8239 0.9011 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.4999 0.0420 0.0000
0.9776 1.3259 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.3852 0.0381 0.0000
1.1315 1.7507 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.2380 0.0192 0.0000
1.2854 2.1754 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0640 -0.0144 0.0000
1.4395 2.6001 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.5938 3.0246 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.7483 3.4491 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.9030 3.8735 -295442.3259 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.9491 -4.2239 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7946 -3.7993 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.6404 -3.3745 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.4862 -2.9498 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0104 0.0067 0.0000
-0.3323 -2.5249 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.1033 -0.0292 0.0000
-0.1784 -2.1001 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.1989 -0.0526 0.0000
-0.0247 -1.6752 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.2928 -0.0636 0.0000
0.1290 -1.2503 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.3794 -0.0620 0.0000
0.2826 -0.8254 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.4515 -0.0480 0.0000
0.4362 -0.4004 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.5001 -0.0238 0.0000
0.5898 0.0245 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.5160 0.0057 0.0000
0.7435 0.4494 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.4930 0.0333 0.0000
0.8972 0.8742 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.4295 0.0509 0.0000
1.0509 1.2990 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.3290 0.0526 0.0000
1.2048 1.7238 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.1986 0.0348 0.0000
1.3587 2.1485 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0460 -0.0050 0.0000
1.5129 2.5731 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.6671 2.9977 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.8216 3.4222 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.9763 3.8465 -344682.7136 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.8757 -4.2509 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0073 0.0073 0.0000
-0.7212 -3.8262 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.5670 -3.4014 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.4129 -2.9767 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0068 0.0068 0.0000
-0.2589 -2.5518 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0754 -0.0225 0.0000
-0.1051 -2.1269 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.1527 -0.0451 0.0000
0.0486 -1.7020 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.2303 -0.0563 0.0000
0.2023 -1.2771 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.3028 -0.0556 0.0000
0.3559 -0.8522 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.3631 -0.0430 0.0000
0.5095 -0.4273 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.4036 -0.0208 0.0000
0.6631 -0.0024 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.4168 0.0066 0.0000
0.8168 0.4225 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.3975 0.0328 0.0000
0.9704 0.8473 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.3440 0.0504 0.0000
1.1242 1.2721 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.2590 0.0528 0.0000
1.2781 1.6969 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.1484 0.0351 0.0000
1.4320 2.1216 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0202 -0.0060 0.0000
1.5862 2.5462 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
